Sample Number (10000 samples per second),heart (bits)
0,553.0
1,547.0
2,518.0
3,557.0
4,536.0
5,515.0
6,542.0
7,519.0
8,465.0
9,496.0
10,537.0
11,501.0
12,499.0
13,469.0
14,516.0
15,477.0
16,233.0
17,480.0
18,460.0
19,475.0
20,465.0
21,419.0
22,406.0
23,443.0
24,406.0
25,397.0
26,345.0
27,351.0
28,343.0
29,344.0
30,344.0
31,316.0
32,325.0
33,326.0
34,312.0
35,265.0
36,285.0
37,296.0
38,296.0
39,267.0
40,256.0
41,274.0
42,280.0
43,279.0
44,248.0
45,243.0
46,273.0
47,296.0
48,256.0
49,239.0
50,268.0
51,282.0
52,293.0
53,260.0
54,258.0
55,270.0
56,274.0
57,293.0
58,282.0
59,298.0
60,325.0
61,325.0
62,202.0
63,120.0
64,328.0
65,337.0
66,336.0
67,308.0
68,321.0
69,342.0
70,353.0
71,323.0
72,309.0
73,322.0
74,328.0
75,323.0
76,310.0
77,328.0
78,347.0
79,353.0
80,349.0
81,315.0
82,332.0
83,354.0
84,344.0
85,341.0
86,321.0
87,337.0
88,361.0
89,335.0
90,317.0
91,322.0
92,342.0
93,348.0
94,325.0
95,312.0
96,327.0
97,343.0
98,343.0
99,309.0
100,308.0
101,333.0
102,320.0
103,305.0
104,308.0
105,334.0
106,353.0
107,357.0
108,336.0
109,159.0
110,265.0
111,380.0
112,342.0
113,316.0
114,327.0
115,336.0
116,348.0
117,314.0
118,287.0
119,321.0
120,336.0
121,314.0
122,279.0
123,298.0
124,329.0
125,345.0
126,315.0
127,296.0
128,316.0
129,338.0
130,336.0
131,304.0
132,296.0
133,323.0
134,341.0
135,316.0
136,295.0
137,320.0
138,334.0
139,343.0
140,314.0
141,312.0
142,329.0
143,346.0
144,311.0
145,277.0
146,311.0
147,344.0
148,361.0
149,335.0
150,329.0
151,199.0
152,221.0
153,374.0
154,322.0
155,333.0
156,358.0
157,370.0
158,339.0
159,315.0
160,342.0
161,352.0
162,347.0
163,307.0
164,301.0
165,341.0
166,367.0
167,356.0
168,327.0
169,336.0
170,358.0
171,361.0
172,332.0
173,324.0
174,339.0
175,360.0
176,350.0
177,323.0
178,328.0
179,352.0
180,361.0
181,338.0
182,321.0
183,330.0
184,333.0
185,328.0
186,316.0
187,333.0
188,357.0
189,376.0
190,361.0
191,166.0
192,207.0
193,379.0
194,374.0
195,340.0
196,333.0
197,350.0
198,375.0
199,354.0
200,320.0
201,328.0
202,349.0
203,345.0
204,325.0
205,314.0
206,362.0
207,383.0
208,370.0
209,336.0
210,331.0
211,360.0
212,366.0
213,340.0
214,319.0
215,335.0
216,358.0
217,368.0
218,337.0
219,332.0
220,353.0
221,369.0
222,351.0
223,307.0
224,302.0
225,336.0
226,361.0
227,337.0
228,329.0
229,350.0
230,374.0
231,155.0
232,237.0
233,345.0
234,357.0
235,395.0
236,359.0
237,331.0
238,345.0
239,368.0
240,364.0
241,327.0
242,321.0
243,333.0
244,365.0
245,356.0
246,331.0
247,343.0
248,374.0
249,363.0
250,346.0
251,338.0
252,351.0
253,371.0
254,357.0
255,332.0
256,340.0
257,367.0
258,370.0
259,349.0
260,329.0
261,372.0
262,381.0
263,367.0
264,310.0
265,301.0
266,361.0
267,372.0
268,352.0
269,354.0
270,346.0
271,314.0
272,161.0
273,336.0
274,330.0
275,362.0
276,378.0
277,352.0
278,329.0
279,338.0
280,345.0
281,352.0
